Lugar de nacimiento del condenado;Edad del condenado;Periodo;Total
España;De 40 a 44 años;2016;2.837
España;De 40 a 44 años;2015;2.535
España;De 45 a 49 años;2022;2.985
España;De 45 a 49 años;2021;2.688
España;De 45 a 49 años;2020;2.156
España;De 45 a 49 años;2019;2.569
España;De 45 a 49 años;2018;2.406
España;De 45 a 49 años;2017;2.297
España;De 45 a 49 años;2016;2.237
España;De 45 a 49 años;2015;2.101
España;De 50 a 54 años;2022;1.989
España;De 50 a 54 años;2021;1.778
España;De 50 a 54 años;2020;1.399
España;De 50 a 54 años;2019;1.658
España;De 50 a 54 años;2018;1.545
España;De 50 a 54 años;2017;1.583
España;De 50 a 54 años;2016;1.467
España;De 50 a 54 años;2015;1.405
España;De 55 a 59 años;2022;1.241
España;De 55 a 59 años;2021;1.115
España;De 55 a 59 años;2020;833
España;De 55 a 59 años;2019;1.031
España;De 55 a 59 años;2018;906
España;De 55 a 59 años;2017;951
España;De 55 a 59 años;2016;882
España;De 55 a 59 años;2015;821
España;De 60 a 64 años;2022;689
España;De 60 a 64 años;2021;643
España;De 60 a 64 años;2020;485
España;De 60 a 64 años;2019;563
España;De 60 a 64 años;2018;538
España;De 60 a 64 años;2017;456
España;De 60 a 64 años;2016;517
España;De 60 a 64 años;2015;465
España;De 65 a 69 años;2022;385
España;De 65 a 69 años;2021;380
España;De 65 a 69 años;2020;254
España;De 65 a 69 años;2019;300
España;De 65 a 69 años;2018;305
España;De 65 a 69 años;2017;308
España;De 65 a 69 años;2016;327
España;De 65 a 69 años;2015;284
España;De 70 a 74 años  ;2022;230
España;De 70 a 74 años  ;2021;202
España;De 70 a 74 años  ;2020;172
España;De 70 a 74 años  ;2019;192
España;De 70 a 74 años  ;2018;214
España;De 70 a 74 años  ;2017;179
España;De 70 a 74 años  ;2016;175
España;De 70 a 74 años  ;2015;157
España;75 y más años;2022;232
España;75 y más años;2021;185
España;75 y más años;2020;166
España;75 y más años;2019;171
España;75 y más años;2018;175
España;75 y más años;2017;172
España;75 y más años;2016;146
España;75 y más años;2015;143
UE28 sin España;Todas las edades;2022;""
UE28 sin España;Todas las edades;2021;""
UE28 sin España;Todas las edades;2020;""
UE28 sin España;Todas las edades;2019;2.736
UE28 sin España;Todas las edades;2018;2.668
UE28 sin España;Todas las edades;2017;2.500
UE28 sin España;Todas las edades;2016;2.427
UE28 sin España;Todas las edades;2015;2.239
UE28 sin España;Menos de 18 años;2022;""
UE28 sin España;Menos de 18 años;2021;""
UE28 sin España;Menos de 18 años;2020;""
UE28 sin España;Menos de 18 años;2019;8
UE28 sin España;Menos de 18 años;2018;3
UE28 sin España;Menos de 18 años;2017;2
UE28 sin España;Menos de 18 años;2016;5
UE28 sin España;Menos de 18 años;2015;3
UE28 sin España;De 18 a 19 años;2022;""
UE28 sin España;De 18 a 19 años;2021;""
UE28 sin España;De 18 a 19 años;2020;""
UE28 sin España;De 18 a 19 años;2019;37
UE28 sin España;De 18 a 19 años;2018;43
UE28 sin España;De 18 a 19 años;2017;32
UE28 sin España;De 18 a 19 años;2016;34
UE28 sin España;De 18 a 19 años;2015;35
UE28 sin España;De 20 a 24 años;2022;""
UE28 sin España;De 20 a 24 años;2021;""
UE28 sin España;De 20 a 24 años;2020;""
UE28 sin España;De 20 a 24 años;2019;198
UE28 sin España;De 20 a 24 años;2018;190
UE28 sin España;De 20 a 24 años;2017;181
UE28 sin España;De 20 a 24 años;2016;179
UE28 sin España;De 20 a 24 años;2015;151
UE28 sin España;De 25 a 29 años;2022;""
UE28 sin España;De 25 a 29 años;2021;""
UE28 sin España;De 25 a 29 años;2020;""
UE28 sin España;De 25 a 29 años;2019;319
UE28 sin España;De 25 a 29 años;2018;302
UE28 sin España;De 25 a 29 años;2017;334
UE28 sin España;De 25 a 29 años;2016;304
UE28 sin España;De 25 a 29 años;2015;292
UE28 sin España;De 30 a 34 años;2022;""
UE28 sin España;De 30 a 34 años;2021;""
UE28 sin España;De 30 a 34 años;2020;""
UE28 sin España;De 30 a 34 años;2019;452
UE28 sin España;De 30 a 34 años;2018;466
UE28 sin España;De 30 a 34 años;2017;358
UE28 sin España;De 30 a 34 años;2016;372
UE28 sin España;De 30 a 34 años;2015;359
UE28 sin España;De 35 a 39 años;2022;""
UE28 sin España;De 35 a 39 años;2021;""
UE28 sin España;De 35 a 39 años;2020;""
UE28 sin España;De 35 a 39 años;2019;471
UE28 sin España;De 35 a 39 años;2018;456
UE28 sin España;De 35 a 39 años;2017;472
UE28 sin España;De 35 a 39 años;2016;447
UE28 sin España;De 35 a 39 años;2015;451
UE28 sin España;De 40 a 44 años;2022;""
UE28 sin España;De 40 a 44 años;2021;""
UE28 sin España;De 40 a 44 años;2020;""
UE28 sin España;De 40 a 44 años;2019;436
UE28 sin España;De 40 a 44 años;2018;466
UE28 sin España;De 40 a 44 años;2017;415
UE28 sin España;De 40 a 44 años;2016;411
UE28 sin España;De 40 a 44 años;2015;361
UE28 sin España;De 45 a 49 años;2022;""
UE28 sin España;De 45 a 49 años;2021;""
UE28 sin España;De 45 a 49 años;2020;""
UE28 sin España;De 45 a 49 años;2019;354
UE28 sin España;De 45 a 49 años;2018;337
UE28 sin España;De 45 a 49 años;2017;313
UE28 sin España;De 45 a 49 años;2016;319
UE28 sin España;De 45 a 49 años;2015;288
UE28 sin España;De 50 a 54 años;2022;""
UE28 sin España;De 50 a 54 años;2021;""
UE28 sin España;De 50 a 54 años;2020;""
UE28 sin España;De 50 a 54 años;2019;247
UE28 sin España;De 50 a 54 años;2018;208
UE28 sin España;De 50 a 54 años;2017;199
UE28 sin España;De 50 a 54 años;2016;189
UE28 sin España;De 50 a 54 años;2015;148
UE28 sin España;De 55 a 59 años;2022;""
UE28 sin España;De 55 a 59 años;2021;""
UE28 sin España;De 55 a 59 años;2020;""
UE28 sin España;De 55 a 59 años;2019;103
UE28 sin España;De 55 a 59 años;2018;98
UE28 sin España;De 55 a 59 años;2017;99
UE28 sin España;De 55 a 59 años;2016;78
UE28 sin España;De 55 a 59 años;2015;64
UE28 sin España;De 60 a 64 años;2022;""
UE28 sin España;De 60 a 64 años;2021;""
UE28 sin España;De 60 a 64 años;2020;""
UE28 sin España;De 60 a 64 años;2019;61
UE28 sin España;De 60 a 64 años;2018;55
UE28 sin España;De 60 a 64 años;2017;49
UE28 sin España;De 60 a 64 años;2016;36
UE28 sin España;De 60 a 64 años;2015;45
UE28 sin España;De 65 a 69 años;2022;""
UE28 sin España;De 65 a 69 años;2021;""
UE28 sin España;De 65 a 69 años;2020;""
UE28 sin España;De 65 a 69 años;2019;30
UE28 sin España;De 65 a 69 años;2018;21
UE28 sin España;De 65 a 69 años;2017;24
UE28 sin España;De 65 a 69 años;2016;36
UE28 sin España;De 65 a 69 años;2015;23
UE28 sin España;De 70 a 74 años  ;2022;""
UE28 sin España;De 70 a 74 años  ;2021;""
UE28 sin España;De 70 a 74 años  ;2020;""
UE28 sin España;De 70 a 74 años  ;2019;13
UE28 sin España;De 70 a 74 años  ;2018;16
UE28 sin España;De 70 a 74 años  ;2017;12
UE28 sin España;De 70 a 74 años  ;2016;8
UE28 sin España;De 70 a 74 años  ;2015;10
UE28 sin España;75 y más años;2022;""
UE28 sin España;75 y más años;2021;""
UE28 sin España;75 y más años;2020;""
UE28 sin España;75 y más años;2019;7
UE28 sin España;75 y más años;2018;7
UE28 sin España;75 y más años;2017;10
UE28 sin España;75 y más años;2016;9
UE28 sin España;75 y más años;2015;9
UE27_2020 sin España;Todas las edades;2022;2.580
UE27_2020 sin España;Todas las edades;2021;2.433
UE27_2020 sin España;Todas las edades;2020;1.946
UE27_2020 sin España;Todas las edades;2019;""
UE27_2020 sin España;Todas las edades;2018;""
UE27_2020 sin España;Todas las edades;2017;""
UE27_2020 sin España;Todas las edades;2016;""
UE27_2020 sin España;Todas las edades;2015;""
UE27_2020 sin España;Menos de 18 años;2022;3
UE27_2020 sin España;Menos de 18 años;2021;3
UE27_2020 sin España;Menos de 18 años;2020;1
UE27_2020 sin España;Menos de 18 años;2019;""
UE27_2020 sin España;Menos de 18 años;2018;""
UE27_2020 sin España;Menos de 18 años;2017;""
UE27_2020 sin España;Menos de 18 años;2016;""
UE27_2020 sin España;Menos de 18 años;2015;""
UE27_2020 sin España;De 18 a 19 años;2022;27
UE27_2020 sin España;De 18 a 19 años;2021;33
UE27_2020 sin España;De 18 a 19 años;2020;19
UE27_2020 sin España;De 18 a 19 años;2019;""
UE27_2020 sin España;De 18 a 19 años;2018;""
UE27_2020 sin España;De 18 a 19 años;2017;""
UE27_2020 sin España;De 18 a 19 años;2016;""
UE27_2020 sin España;De 18 a 19 años;2015;""
UE27_2020 sin España;De 20 a 24 años;2022;180
UE27_2020 sin España;De 20 a 24 años;2021;162
UE27_2020 sin España;De 20 a 24 años;2020;142
UE27_2020 sin España;De 20 a 24 años;2019;""
UE27_2020 sin España;De 20 a 24 años;2018;""
UE27_2020 sin España;De 20 a 24 años;2017;""
UE27_2020 sin España;De 20 a 24 años;2016;""
UE27_2020 sin España;De 20 a 24 años;2015;""
UE27_2020 sin España;De 25 a 29 años;2022;233
UE27_2020 sin España;De 25 a 29 años;2021;226
UE27_2020 sin España;De 25 a 29 años;2020;236
UE27_2020 sin España;De 25 a 29 años;2019;""
UE27_2020 sin España;De 25 a 29 años;2018;""
UE27_2020 sin España;De 25 a 29 años;2017;""
UE27_2020 sin España;De 25 a 29 años;2016;""
UE27_2020 sin España;De 25 a 29 años;2015;""
UE27_2020 sin España;De 30 a 34 años;2022;403
UE27_2020 sin España;De 30 a 34 años;2021;370
UE27_2020 sin España;De 30 a 34 años;2020;313
UE27_2020 sin España;De 30 a 34 años;2019;""
UE27_2020 sin España;De 30 a 34 años;2018;""
UE27_2020 sin España;De 30 a 34 años;2017;""
UE27_2020 sin España;De 30 a 34 años;2016;""
UE27_2020 sin España;De 30 a 34 años;2015;""
UE27_2020 sin España;De 35 a 39 años;2022;423
UE27_2020 sin España;De 35 a 39 años;2021;393
UE27_2020 sin España;De 35 a 39 años;2020;306
UE27_2020 sin España;De 35 a 39 años;2019;""
UE27_2020 sin España;De 35 a 39 años;2018;""
UE27_2020 sin España;De 35 a 39 años;2017;""
UE27_2020 sin España;De 35 a 39 años;2016;""
UE27_2020 sin España;De 35 a 39 años;2015;""
UE27_2020 sin España;De 40 a 44 años;2022;437
UE27_2020 sin España;De 40 a 44 años;2021;453
UE27_2020 sin España;De 40 a 44 años;2020;351
UE27_2020 sin España;De 40 a 44 años;2019;""
UE27_2020 sin España;De 40 a 44 años;2018;""
UE27_2020 sin España;De 40 a 44 años;2017;""
UE27_2020 sin España;De 40 a 44 años;2016;""
UE27_2020 sin España;De 40 a 44 años;2015;""
UE27_2020 sin España;De 45 a 49 años;2022;370
UE27_2020 sin España;De 45 a 49 años;2021;349
UE27_2020 sin España;De 45 a 49 años;2020;254
UE27_2020 sin España;De 45 a 49 años;2019;""
UE27_2020 sin España;De 45 a 49 años;2018;""
UE27_2020 sin España;De 45 a 49 años;2017;""
UE27_2020 sin España;De 45 a 49 años;2016;""
UE27_2020 sin España;De 45 a 49 años;2015;""
UE27_2020 sin España;De 50 a 54 años;2022;257
UE27_2020 sin España;De 50 a 54 años;2021;221
UE27_2020 sin España;De 50 a 54 años;2020;177
UE27_2020 sin España;De 50 a 54 años;2019;""
UE27_2020 sin España;De 50 a 54 años;2018;""
UE27_2020 sin España;De 50 a 54 años;2017;""
UE27_2020 sin España;De 50 a 54 años;2016;""
UE27_2020 sin España;De 50 a 54 años;2015;""
UE27_2020 sin España;De 55 a 59 años;2022;138
UE27_2020 sin España;De 55 a 59 años;2021;128
UE27_2020 sin España;De 55 a 59 años;2020;79
UE27_2020 sin España;De 55 a 59 años;2019;""
UE27_2020 sin España;De 55 a 59 años;2018;""
UE27_2020 sin España;De 55 a 59 años;2017;""
UE27_2020 sin España;De 55 a 59 años;2016;""
UE27_2020 sin España;De 55 a 59 años;2015;""
UE27_2020 sin España;De 60 a 64 años;2022;52
UE27_2020 sin España;De 60 a 64 años;2021;52
UE27_2020 sin España;De 60 a 64 años;2020;38
UE27_2020 sin España;De 60 a 64 años;2019;""
UE27_2020 sin España;De 60 a 64 años;2018;""
UE27_2020 sin España;De 60 a 64 años;2017;""
UE27_2020 sin España;De 60 a 64 años;2016;""
UE27_2020 sin España;De 60 a 64 años;2015;""
UE27_2020 sin España;De 65 a 69 años;2022;27
UE27_2020 sin España;De 65 a 69 años;2021;18
UE27_2020 sin España;De 65 a 69 años;2020;17
UE27_2020 sin España;De 65 a 69 años;2019;""
UE27_2020 sin España;De 65 a 69 años;2018;""
UE27_2020 sin España;De 65 a 69 años;2017;""
UE27_2020 sin España;De 65 a 69 años;2016;""
UE27_2020 sin España;De 65 a 69 años;2015;""
UE27_2020 sin España;De 70 a 74 años  ;2022;19
UE27_2020 sin España;De 70 a 74 años  ;2021;15
UE27_2020 sin España;De 70 a 74 años  ;2020;9
UE27_2020 sin España;De 70 a 74 años  ;2019;""
UE27_2020 sin España;De 70 a 74 años  ;2018;""
UE27_2020 sin España;De 70 a 74 años  ;2017;""
UE27_2020 sin España;De 70 a 74 años  ;2016;""
UE27_2020 sin España;De 70 a 74 años  ;2015;""
UE27_2020 sin España;75 y más años;2022;11
UE27_2020 sin España;75 y más años;2021;10
UE27_2020 sin España;75 y más años;2020;4
UE27_2020 sin España;75 y más años;2019;""
UE27_2020 sin España;75 y más años;2018;""
UE27_2020 sin España;75 y más años;2017;""
UE27_2020 sin España;75 y más años;2016;""
UE27_2020 sin España;75 y más años;2015;""
Europa menos UE28;Todas las edades;2022;""
Europa menos UE28;Todas las edades;2021;""
Europa menos UE28;Todas las edades;2020;""
Europa menos UE28;Todas las edades;2019;359
Europa menos UE28;Todas las edades;2018;291
Europa menos UE28;Todas las edades;2017;266
Europa menos UE28;Todas las edades;2016;255
Europa menos UE28;Todas las edades;2015;236
Europa menos UE28;Menos de 18 años;2022;""
Europa menos UE28;Menos de 18 años;2021;""
Europa menos UE28;Menos de 18 años;2020;""
Europa menos UE28;Menos de 18 años;2019;0
Europa menos UE28;Menos de 18 años;2018;0
Europa menos UE28;Menos de 18 años;2017;0
Europa menos UE28;Menos de 18 años;2016;1
Europa menos UE28;Menos de 18 años;2015;1
Europa menos UE28;De 18 a 19 años;2022;""
Europa menos UE28;De 18 a 19 años;2021;""
Europa menos UE28;De 18 a 19 años;2020;""
Europa menos UE28;De 18 a 19 años;2019;5
Europa menos UE28;De 18 a 19 años;2018;4
Europa menos UE28;De 18 a 19 años;2017;4
Europa menos UE28;De 18 a 19 años;2016;0
Europa menos UE28;De 18 a 19 años;2015;1
Europa menos UE28;De 20 a 24 años;2022;""
Europa menos UE28;De 20 a 24 años;2021;""
Europa menos UE28;De 20 a 24 años;2020;""
Europa menos UE28;De 20 a 24 años;2019;38
Europa menos UE28;De 20 a 24 años;2018;21
Europa menos UE28;De 20 a 24 años;2017;18
Europa menos UE28;De 20 a 24 años;2016;17
Europa menos UE28;De 20 a 24 años;2015;13
Europa menos UE28;De 25 a 29 años;2022;""
Europa menos UE28;De 25 a 29 años;2021;""
Europa menos UE28;De 25 a 29 años;2020;""
Europa menos UE28;De 25 a 29 años;2019;39
Europa menos UE28;De 25 a 29 años;2018;38
Europa menos UE28;De 25 a 29 años;2017;22
Europa menos UE28;De 25 a 29 años;2016;25
Europa menos UE28;De 25 a 29 años;2015;20
Europa menos UE28;De 30 a 34 años;2022;""
Europa menos UE28;De 30 a 34 años;2021;""
Europa menos UE28;De 30 a 34 años;2020;""
Europa menos UE28;De 30 a 34 años;2019;55
Europa menos UE28;De 30 a 34 años;2018;33
Europa menos UE28;De 30 a 34 años;2017;48
Europa menos UE28;De 30 a 34 años;2016;35
Europa menos UE28;De 30 a 34 años;2015;44
Europa menos UE28;De 35 a 39 años;2022;""
Europa menos UE28;De 35 a 39 años;2021;""
Europa menos UE28;De 35 a 39 años;2020;""
Europa menos UE28;De 35 a 39 años;2019;57
Europa menos UE28;De 35 a 39 años;2018;52
Europa menos UE28;De 35 a 39 años;2017;49
Europa menos UE28;De 35 a 39 años;2016;52
Europa menos UE28;De 35 a 39 años;2015;46
